"","R.ALK","R.DIC","R.TOT_P","R.TOT_N5","R.TOT_N3","R.TOT_S6","R.TOT_S2","R.CH4","R.O2","R.N2","R.Mn2","R.Fe2","R.Ca2","R.MnO2","R.OM","R.OM_beta","R.FeOH3","R.FeOH3_P","R.FeCO3","R.S0","R.FeS","R.Viv","R.CaCO3","R.Apatite","R.MnCO3"
"1",-67.9155219526186,134.107320172177,0.57289292543383,0.828138830638325,10.0992522498493,-2.65006156151073,0.983557778940603,0.0253621916353689,-90.5212383684813,0,87.0092178863661,-127.964217618807,-0.00193305226773138,-87.0092178863661,-96.1610777954902,0,164.544280154714,0.566258781513108,-37.9716045683219,0.831085156691895,0.835418625878231,-0.00337845832538882,0,0.000644350755910461,0
"2",-477.31825857258,131.753403048043,-2.29316399533183,0,10.7833192375402,-2.43298311840172,-113.053764920292,-0.0376095098306689,-89.5167914485082,0,177.561241083465,-425.190902633637,-0.00069247095617412,-177.561241083465,-94.8932450991258,0,343.563928871885,5.31306627998398,-36.8225484390861,2.35041492797787,113.136333110716,4.0936712655587e-05,0,0.00023082365205804,0
"3",-2468.55706470249,129.063300775447,2.87477022473604,0,10.6405518534148,-2.2207306602268,-1093.23627331561,-0.0776161410508907,-90.368452106352,0,186.633513485717,-1427.16594176766,0.150274456130151,-186.633513485717,-93.6368916447261,0,373.932831252468,-3.08570243566604,-35.3487929896702,3.72969969989716,1091.72730427594,-0.0198994451371225,0,-0.0500914853767169,0
"4",-10571.7921454758,126.031526806917,3.21495954413327,0,10.4990850501545,-2.01821074644916,-5177.54778767774,-0.116807052385788,-91.4217884330309,0,148.351059725461,-5440.05775627826,0.150350315438778,-148.351059725461,-92.3919833062589,0,302.777668704221,-3.67214072545214,-33.5227364482721,5.03130505459655,5174.53469336959,-0.0199095406074103,0,-0.050116771812926,0
"5",-34007.0812553912,122.719104083806,3.56089315233335,0,10.358914873229,-1.83542259077296,-16940.6035978704,-0.160627632777637,-92.5600543644617,0,96.4829854743253,-17105.408473191,0.150426569869555,-96.4829854743253,-91.1584852838436,0,204.98529951606,-4.26797220257315,-31.399991167185,6.28812380549681,16936.1508966557,-0.0199198703257417,0,-0.0501421899565184,0
"6",-87501.6144574342,119.216409996953,3.91275312046724,0,10.2200372919049,-1.68355831261022,-43724.4038958732,-0.210976354167284,-93.6327102545578,0,53.2660701800286,-43809.0610025342,0.150503238693963,-53.2660701800286,-89.9363621070132,0,124.487670935218,-4.87349972773586,-29.0690715357722,7.51175900571576,43718.57569518,-0.0199307725352513,0,-0.050167746231321,0
"7",-191383.314698226,115.606512395989,4.27050131043542,0,10.0824482000569,-1.57332093481773,-95686.5520349391,-0.267935016390124,-94.502387970593,0,25.6016613195394,-95721.8888851518,0.150580339675077,-25.6016613195393,-88.7255776418511,0,74.6263628155889,-5.48865817778287,-26.6129997377479,8.70134698322568,95679.4240088907,-0.0199428796553782,0,-0.0501934465583589,0
"8",-371566.905844109,111.950658847924,4.63356428142521,0,9.94614341664798,-1.51462509108734,-185787.374444772,-0.329172175000182,-95.0588637314488,0,10.921488767313,-185798.695983368,0.150657887355396,-10.921488767313,-87.5260950952173,0,49.9253375569371,-6.11248910783149,-24.0953915777068,9.85067184599733,185779.038398017,-0.0199571734496432,0,-0.0502192957851319,0
"9",-659906.067812126,108.290344953259,-28.4171092378925,0,9.81111868635925,-1.51600523024996,-329975.209639111,-0.387767596026421,-95.2142710184122,0,4.19671289238221,-329977.860288941,-0.000449206702202895,-4.19671289238221,-86.3378770202923,0,-15.0276285474992,48.3622827699555,-21.5647003369402,10.9562318531353,329965.769412488,0.106974189280348,0,0.000149735567400965,0
"10",-1094450.70248244,104.643513119386,-32.3726549292541,0,9.67736968041649,-1.58609659769978,-547246.671684979,-0.427688758134969,-94.8960011226869,0,1.46959575435019,-547249.429479265,-0.00246661056064862,-1.46959575435019,-85.1608853238482,0,-22.7651828243472,52.4111179188952,-19.0549390374028,12.0109148933265,547236.246866684,0.863872174701715,0,0.000822203520216207,0
"11",-1721299.669593,101.016337348549,-37.2113976726917,0,9.54489199700627,-1.73035841259344,-860667.401030789,-0.415087614865206,-94.0266598792279,0,0.473029995315212,-860675.410594672,-0.00573507170860019,-0.473029995315212,-83.9950812699122,0,-26.5519258477991,54.6161780670695,-16.6061684637716,13.0242891028223,860656.107100099,2.61513693919277,0,0.0019116905695334,0
"12",-2593932.92292891,97.37021467157,-43.9783653666883,0,9.41368116199872,-1.95573640095992,-1296977.79783656,-0.282286032462421,-92.5157259473492,0,0.140984310074185,-1296995.24407358,-0.0101348541076451,-0.140984310074185,-82.8404254861266,0,-28.9315653521164,55.356188141092,-14.2475031529809,13.9957330624393,1296965.7578399,5.76970468030518,0,0.00337828470254837,0
"13",-3769539.27860673,93.5892186380329,-53.5507760370621,0,9.28373262969925,-2.27149004125964,-1884771.83179403,0.0999941308792004,-90.2329413785913,0,0.0391584594084377,-1884803.35171891,-0.0154872949517285,-0.0391584594084377,-81.6968779703639,0,-30.7969983423254,54.7667079524797,-11.9923347985482,14.9056674745217,1884759.1976166,10.7255758330722,0,0.00516243165057618,0
"14",-5313780.69485136,90.1645273055298,-66.6646498901747,0,9.1550417834933,-2.68333208933746,-2656879.9438905,0.267650841372509,-87.6489121077324,0,0.0101830321494794,-2656930.92920777,-0.0215788730078908,-0.0101830321494794,-80.5643980964007,0,-32.4855110542941,52.9428606467185,-9.86778005050158,15.7544679814405,2656866.87275461,17.8222945391403,0,0.00719295766929694,0
"15",-7298695.32523435,87.049674205093,-83.9365341458017,0,9.02760393655312,-3.19651356022916,-3649320.67147795,0.292579731701804,-84.7119555245543,0,0.00248935754271581,-3649397.31549143,-0.0281977023368391,-0.00248935754271581,-79.4429446201371,0,-34.1141828059852,50.0236194143855,-7.89930931665774,16.5421660299009,3649307.32582548,27.3265128853226,0,0.00939923411227971,0
"16",-9801589.16901248,84.1205029763135,-105.866871530433,0,8.90141433255139,-3.81586982793159,-4900746.54220134,0.322007955162213,-81.306833280677,0,0.000574147596808743,-4900855.74993345,-0.0351597003350955,-0.000574147596808743,-78.332475685877,0,-35.7227533452359,46.18866997969,-6.11003524559872,17.2678421523448,4900733.09022902,39.4346076810369,0,0.0117199001116985,0
"17",-12903475.2619695,81.3969782194136,-132.857660430583,0,8.77646814637423,-4.5455898734163,-6451663.67807872,0.356477394637008,-77.4742132015598,0,0.000125342438221698,-6451812.95144378,-0.0423204651192626,-0.000125342438221698,-77.2329488326022,0,-37.3237960082814,41.6463497660954,-4.52050678144843,17.9296462736596,6451650.29402232,54.2851248261745,0,0.0141068217064209,0
"18",-16687367.3182026,78.8966632357586,-165.229450515297,0,8.65276048482005,-5.38866358818715,-8343578.60965377,0.396483251203484,-73.2612967546995,0,2.59771546386659e-05,-8343775.93932021,-0.0495761575828254,-2.59771546386659e-05,-76.1443210001225,0,-38.918687509126,36.6171847614303,-3.14882548683958,18.5253162177191,8343565.47300114,71.9722157688309,0,0.0165253858609418,0
"19",-21236036.6203826,76.6344934772055,-203.236360673308,0,8.53028638744575,-6.34634461467263,-10617876.7085173,0.442418429807367,-68.7192023548324,0,5.1247946907919e-06,-10618130.4830069,-0.0568576752782428,-5.1247946907919e-06,-75.0665485365221,0,-40.5011049829082,31.3176416582539,-2.01036337049082,19.0520966016624,10617864.0027653,92.5580227738486,0,0.0189525584260809,0
"20",-26631518.8053743,74.6232111697962,-247.062176617838,0,8.40904082733166,-7.41760498200686,-13315575.5905564,0.494523055000467,-63.8998456609392,0,9.64770519083705e-07,-13315894.4917771,-0.0641247163078426,-9.64770519083706e-07,-73.9995872048911,0,-42.0602464884796,25.9414305083368,-1.11814701990554,19.5084380149674,13315563.4997234,116.076338907609,0,0.0213749054359475,0
"21",-32953028.5969985,72.8726178705269,-296.83051782522,0,8.28901871171397,-8.59928651177524,-16476282.4710397,0.552862700077767,-58.8527100824133,0,1.7371340633244e-07,-16476675.3861967,-0.0713575260562167,-1.7371340633244e-07,-72.9433921888913,0,-43.5803738343506,20.6485255465918,-0.482088381713332,19.8931569520488,16476271.1771693,142.540988011278,0,0.0237858420187389,0
"22",-40278631.4262773,71.3894968337548,-352.602221632397,0,8.17021488292429,-9.88681548301855,-20139029.9851623,0.617357501008259,-53.6203701320698,0,2.99785237853609e-08,-20139505.9076166,-0.0785558643587181,-2.99785237853609e-08,-71.8979181010236,0,-45.0456983997956,15.554197864004,-0.108936233739397,20.2073462960738,20139019.6646314,171.947807291996,0,0.0261852881195727,0
"23",-48688966.0460043,70.1689030028969,-414.363008633702,0,8.0526241190447,-11.2754001599974,-24344137.5043063,0.687846804014044,-48.2352703292503,0,4.95763699407663e-09,-24344705.4204819,-0.0857368035146797,-4.95763699407663e-09,-70.863118988393,0,-46.4445393289839,10.7282494456654,0.00636918148207122,20.4554354843773,24344128.3242709,204.268710543875,0,0.0285789345048932,0
"24",-58254752.5534802,68.1952792269056,-482.084444303175,-0.137755002612372,7.93624113467455,-12.692271293551,-29126964.0479789,0.760252753894347,-42.7220033695399,0.068877501306186,7.14094871979526e-10,-29127633.9553231,-0.0929085509116198,-7.14094871979526e-10,-69.8389483394561,0,-47.676035580652,6.24043118264945,0.883416358656183,20.638395956195,29126956.1018543,239.468552281423,0,0.0309695169705399,0
"25",-69045495.6747792,64.796846272391,-555.727980673166,-1.04088579118287,7.8210605819134,-13.8153805846745,-34522261.2531074,0.816389411688962,-37.1080748662527,0.520442895591433,0,-34523043.8476519,-0.100081854015795,0,-68.8253590926715,0,-48.3628189213419,2.23360327705219,3.21212340859154,20.7593338327184,34522254.3091541,277.485196655711,0,0.033360618005265,0
