"","siderite","FeS","Viv","CaCO3","Apatite","MnCO3"
"1",0,0,0,3.81787493179162,18.2269762884861,0.000455465141580872
"2",0,0,0,6.08659690908078,3.22518717697232,0
"3",0,0,0,10.0782571908151,1.1120140135893e-27,0
"4",0,0,0,15.9243073777533,1.12872311258892e-27,0
"5",0,0,0,22.9093081229638,1.18797705921011e-27,0
"6",0,0,0,30.3663385465195,1.2475563597616e-27,0
"7",0,0,0,37.9280334289663,1.29451106403823e-27,0
"8",0,0,0,45.3939816317239,1.33011295157831e-27,0
"9",0,0,0,52.6455797313869,1.35744314304471e-27,0
"10",0,0,0,59.6132149492833,1.37883561009795e-27,0
"11",0,0,0,66.264172829676,1.395816262995e-27,0
"12",0,0,0,72.5962366566671,1.4093763620614e-27,0
"13",0,0,0,78.6316449101504,1.42019375467092e-27,0
"14",0,0,0,84.4097390767625,1.42877721861489e-27,0
"15",0,0,0,89.9791229449776,1.43554332748699e-27,0
"16",0,0,0,95.3901356737082,2.80640382046963e-27,0
"17",0,0,0,100.689350180561,2.81453698859892e-27,0
"18",0,0,0,105.915713518232,2.82099250581241e-27,0
"19",0,0,0,111.099650509096,2.82620198608233e-27,0
"20",0,0,0,116.26310089694,2.8305072057706e-27,0
"21",0,0,0,121.421012181563,2.83415816542082e-27,0
"22",0,0,0,126.582940290568,2.83733287983636e-27,0
"23",0,0,0,131.754322854751,2.84015817600675e-27,0
"24",0,0,0,136.937740121848,2.84272040174876e-27,0
"25",0,0,0,142.134344863505,2.84507037335516e-27,0
"26",0,0,0,147.344701089284,2.84723874373289e-27,0
"27",0,0,0,152.570162072105,2.84922734025708e-27,0
"28",0,0,0,157.812875092885,2.85104092044547e-27,0
"29",0,0,0,163.046660670426,2.85310024838996e-27,0
"30",0,0,0,168.294651378427,2.8546975829941e-27,0
"31",0,0,0,173.549406768208,2.85628949472708e-27,0
"32",0,0,0,178.806649965049,2.85783400064473e-27,0
"33",0,0,0,184.062868164997,2.85932487511598e-27,0
"34",0,0,0,189.314844547426,2.86076263606151e-27,0
"35",0,0,0,194.559151924643,2.86215411734871e-27,0
"36",0,0,0,199.792356051229,2.86350304355946e-27,0
"37",0,0,0,205.010976002795,2.86481329814864e-27,0
"38",0,0,0,210.211949284675,2.86608297642826e-27,0
"39",0,0,0,215.39297360089,2.86730639803919e-27,0
"40",0,0,0,220.535072747747,2.86867858625275e-27,0
"41",0,0,0,225.652968349958,2.86980995264782e-27,0
"42",0,0,0,230.753684375061,2.87080093260728e-27,0
"43",0,0,0,235.808334549145,2.87205537504848e-27,0
"44",0,0,0,240.820946316092,2.87320216842343e-27,0
"45",0,0,0,245.788825217229,2.87432006594501e-27,0
"46",0,0,0,250.708405865067,2.87542069089369e-27,0
"47",0,0,0,255.576513821351,2.87650174393867e-27,0
"48",0,0,0,260.380891861929,2.87765951080573e-27,0
"49",0,0,0,264.034539184672,2.00807429675711e-28,0
"50",0,0,0,267.273212839388,3.91727606547922e-28,0
"51",0,0,0,270.431348403805,7.63236707522718e-28,0
"52",0,0,0,273.512547548081,1.48704725649241e-27,0
"53",0,0,0,276.55487673712,1.4873017461505e-27,0
"54",0,0,0,279.540802221828,1.48763820316191e-27,0
"55",0,0,0,282.420053738452,1.48822538672823e-27,0
"56",0,0,0,285.272396106716,1.48838984459254e-27,0
"57",0,0,0,288.074348621841,1.48866773856852e-27,0
"58",0,0,0,290.835540770945,1.48888881205101e-27,0
"59",0,0,0,293.52760052097,1.48924696284005e-27,0
"60",0,0,0,296.215092952311,2.9007032686844e-27,0
"61",0,0,0,298.841970351816,2.90128972998258e-27,0
"62",0,0,0,301.334858295299,2.90257845855518e-27,0
"63",0,0,0,303.844909401337,2.90237594600206e-27,0
"64",0,0,0,306.31656169544,2.90270748165369e-27,0
"65",0,0,0,308.710569418173,2.90340892055705e-27,0
"66",0,0,0,311.113535094533,2.90326153646466e-27,0
"67",0,0,0,313.438837926592,2.90394173775012e-27,0
"68",0,0,0,315.770965937887,2.90379759783413e-27,0
"69",0,0,0,318.048616863849,2.90423715617192e-27,0
"70",0,0,0,320.228215900443,2.90508260406296e-27,0
