"","tran.ALK.dC","tran.ALK.flux.up","tran.ALK.flux.down","tran.DIC.dC","tran.DIC.flux.up","tran.DIC.flux.down","tran.TOT_P.dC","tran.TOT_P.flux.up","tran.TOT_P.flux.down","tran.TOT_N5.dC","tran.TOT_N5.flux.up","tran.TOT_N5.flux.down","tran.TOT_N3.dC","tran.TOT_N3.flux.up","tran.TOT_N3.flux.down","tran.TOT_S6.dC","tran.TOT_S6.flux.up","tran.TOT_S6.flux.down","tran.TOT_S2.dC","tran.TOT_S2.flux.up","tran.TOT_S2.flux.down","tran.CH4.dC","tran.CH4.flux.up","tran.CH4.flux.down","tran.O2.dC","tran.O2.flux.up","tran.O2.flux.down","tran.N2.dC","tran.N2.flux.up","tran.N2.flux.down","tran.Mn2.dC","tran.Mn2.flux.up","tran.Mn2.flux.down","tran.Fe2.dC","tran.Fe2.flux.up","tran.Fe2.flux.down","tran.Ca2.dC","tran.Ca2.flux.up","tran.Ca2.flux.down","tran.MnO2.dC","tran.MnO2.flux.up","tran.MnO2.flux.down","tran.OM.dC","tran.OM.flux.up","tran.OM.flux.down","tran.FeOH3.dC","tran.FeOH3.flux.up","tran.FeOH3.flux.down","tran.FeOH3_P.dC","tran.FeOH3_P.flux.up","tran.FeOH3_P.flux.down","tran.FeCO3.dC","tran.FeCO3.flux.up","tran.FeCO3.flux.down","tran.S0.dC","tran.S0.flux.up","tran.S0.flux.down","tran.FeS.dC","tran.FeS.flux.up","tran.FeS.flux.down","tran.Viv.dC","tran.Viv.flux.up","tran.Viv.flux.down","tran.CaCO3.dC","tran.CaCO3.flux.up","tran.CaCO3.flux.down","tran.Apatite.dC","tran.Apatite.flux.up","tran.Apatite.flux.down"
"1",-94.6916275599324,-2.38210122656114,0.0107455148575227,-535.145251234664,-6.42933799693483,0.0321259051719922,-4.34673262158574,-0.0933415797187303,0.000578259788924323,1.54009470737256,0.180992067571288,4.50883378497732e-137,-80.4741520935189,-1.64749061094238,0.00533708863697067,1.06948905094525,0.141469276829215,0,1.35305604625634,-0.0112354927501366,5.49618399826871e-05,1.08177716857643,-4.47963532492066,0.0188842826673135,531.53238629153,1.4033935513501,4.68925449043331e-141,-0.77004735368728,-0.0904478571882257,4.81765974183457e-05,-0.0375633057955284,-0.0499271950928317,7.28049071682933e-05,-6.94518400306967,-0.125537610011547,1.59860716370479e-05,-0.459820330504592,-0.00836154480601902,0.00108898916942632,0.0375633057956117,0.05,7.66823163450352e-119,533.141257619575,10.95,1.64902868130101e-05,6.66125210630966,0.2,3.14610137310824e-28,-1.13849549396441,0,1.08604734089545e-140,0.461029117976077,0,8.61401706630805e-15,-3.38228325377563,0,0.0692557898902866,0.959738156574469,0,0.0609230323537585,0.000553372057982424,0,0.00450779052101638,0.461187328507151,0.01,1.35205421961626e-11,-0.000455665998286718,0.01,0.010183155337011
"2",-118.631104263173,-2.38210122656114,0.0107455148575227,-530.92500425366,-6.42933799693483,0.0321259051719922,-3.36259700790469,-0.0933415797187303,0.000578259788924323,1.85013255094757,0.180992067571288,4.50883378497732e-137,-79.5374663708655,-1.64749061094238,0.00533708863697067,3.01562703246411,0.141469276829215,0,6.10807409807693,-0.0112354927501366,5.49618399826871e-05,3.04655095837236,-4.47963532492066,0.0188842826673135,525.415135123954,1.4033935513501,4.68925449043331e-141,-0.925066275473012,-0.0904478571882257,4.81765974183457e-05,-0.0493719042680042,-0.0499271950928317,7.28049071682933e-05,-16.585899080566,-0.125537610011547,1.59860716370479e-05,-0.652153157327498,-0.00836154480601902,0.00108898916942632,0.0493719042679211,0.05,7.66823163450352e-119,526.935714706947,10.95,1.64902868130101e-05,18.6158862228339,0.2,3.14610137310824e-28,-2.66986834279118,0,1.08604734089545e-140,0.289264589550136,0,8.61401706630805e-15,-9.48285735196806,0,0.0692557898902866,0.35915622142744,0,0.0609230323537585,-0.00284653681824675,0,0.00450779052101638,0.653473998769589,0.01,1.35205421961626e-11,-0.000440280481532301,0.01,0.010183155337011
"3",-141.627690707675,-2.38210122656114,0.0107455148575227,-526.445309701904,-6.42933799693483,0.0321259051719922,-2.86827300718074,-0.0933415797187303,0.000578259788924323,2.26795613636758,0.180992067571288,4.50883378497732e-137,-78.6099680103528,-1.64749061094238,0.00533708863697067,4.70451724221461,0.141469276829215,0,10.3579510025368,-0.0112354927501366,5.49618399826871e-05,4.74840646172014,-4.47963532492066,0.0188842826673135,519.00689114797,1.4033935513501,4.68925449043331e-141,-1.1339780681844,-0.0904478571882257,4.81765974183457e-05,-0.0668065209864032,-0.0499271950928317,7.28049071682933e-05,-26.3224178756512,-0.125537610011547,1.59860716370479e-05,-0.715278145219111,-0.00836154480601902,0.00108898916942632,0.0668065209864585,0.05,7.66823163450352e-119,520.791038068655,10.95,1.64902868130101e-05,29.5133215083272,0.2,3.14610137310824e-28,-3.3354238683102,0,1.08604734089545e-140,0.189354273458471,0,8.61401706630805e-15,-15.0817949627077,0,0.0692557898902866,0.0193267179561661,0,0.0609230323537585,-0.0213869185932571,0,0.00450779052101638,0.716510898159036,0.01,1.35205421961626e-11,-0.000410917646876508,0.01,0.010183155337011
"4",-164.241678789704,-2.38210122656114,0.0107455148575227,-521.747240461214,-6.42933799693483,0.0321259051719922,-2.77862571367964,-0.0933415797187303,0.000578259788924323,2.84988588750584,0.180992067571288,4.50883378497732e-137,-77.6915862376134,-1.64749061094238,0.00533708863697067,6.13667570075024,0.141469276829215,0,14.2082473055241,-0.0112354927501366,5.49618399826871e-05,6.18899026261214,-4.47963532492066,0.0188842826673135,512.271608482857,1.4033935513501,4.68925449043331e-141,-1.42494294375259,-0.0904478571882257,4.81765974183457e-05,-0.0936658456219707,-0.0499271950928317,7.28049071682933e-05,-36.2714807219014,-0.125537610011547,1.59860716370479e-05,-0.737593920861813,-0.00836154480601902,0.00108898916942632,0.0936658456219707,0.05,7.66823163450352e-119,514.706758824143,10.95,1.64902868130101e-05,39.6314859153533,0.2,3.14610137310824e-28,-3.27982765556612,0,1.08604734089545e-140,0.112710238765114,0,8.61401706630805e-15,-20.3146507640998,0,0.0692557898902866,-0.030272242174612,0,0.0609230323537585,-0.0542051781589161,0,0.00450779052101638,0.738781135633062,0.01,1.35205421961626e-11,-0.0003957382568751,0.01,0.010183155337011
"5",-185.205858227616,-2.38210122656114,0.0107455148575227,-516.85200041302,-6.42933799693483,0.0321259051719922,-2.99317694312563,-0.0933415797187303,0.000578259788924323,3.69403661488004,0.180992067571288,4.50883378497732e-137,-76.7822495419939,-1.64749061094238,0.00533708863697067,7.31485423677654,0.141469276829215,0,17.9654688419992,-0.0112354927501366,5.49618399826871e-05,7.37127394302146,-4.47963532492066,0.0188842826673135,505.120843346032,1.4033935513501,4.68925449043331e-141,-1.8470183074403,-0.0904478571882257,4.81765974183457e-05,-0.137274074726814,-0.0499271950928317,7.28049071682933e-05,-45.6668442474762,-0.125537610011547,1.59860716370479e-05,-0.742401947947796,-0.00836154480601902,0.00108898916942632,0.137274074726539,0.05,7.66823163450352e-119,508.682403215676,10.95,1.64902868130101e-05,48.7894021480241,0.2,3.14610137310824e-28,-2.67975628318362,0,1.08604734089545e-140,0.0547496865366887,0,8.61401706630805e-15,-25.0783899800883,0,0.0692557898902866,-0.201933098687396,0,0.0609230323537585,-0.0985394017379494,0,0.00450779052101638,0.743573567743263,0.01,1.35205421961626e-11,-0.000390539931403016,0.01,0.010183155337011
"6",-203.308356065233,-2.38210122656114,0.0107455148575227,-511.773474209024,-6.42933799693483,0.0321259051719922,-3.39913549809136,-0.0933415797187303,0.000578259788924323,4.98315495914371,0.180992067571288,4.50883378497732e-137,-75.8818856629887,-1.64749061094238,0.00533708863697067,8.24321152024717,0.141469276829215,0,21.4732006514831,-0.0112354927501366,5.49618399826871e-05,8.29927982614374,-4.47963532492066,0.0188842826673135,497.357046687019,1.4033935513501,4.68925449043331e-141,-2.49157747957131,-0.0904478571882257,4.81765974183457e-05,-0.212923760009286,-0.0499271950928317,7.28049071682933e-05,-53.7266695785646,-0.125537610011547,1.59860716370479e-05,-0.738420611787655,-0.00836154480601902,0.00108898916942632,0.212923760009533,0.05,7.66823163450352e-119,502.717492517372,10.95,1.64902868130101e-05,56.5034420496852,0.2,3.14610137310824e-28,-1.73464219666867,0,1.08604734089545e-140,0.0171065197045643,0,8.61401706630805e-15,-29.1100462002068,0,0.0692557898902866,-0.606365971523279,0,0.0609230323537585,-0.150956940877535,0,0.00450779052101638,0.739595345915623,0.01,1.35205421961626e-11,-0.00039157804461093,0.01,0.010183155337011
"7",-217.104071563316,-2.38210122656114,0.0107455148575227,-506.521023201434,-6.42933799693483,0.0321259051719922,-3.87985236578488,-0.0933415797187303,0.000578259788924323,7.08738740474903,0.180992067571288,4.50883378497732e-137,-74.9904215783904,-1.64749061094238,0.00533708863697067,8.92669802805485,0.141469276829215,0,24.4603705600827,-0.0112354927501366,5.49618399826871e-05,8.97778789035752,-4.47963532492066,0.0188842826673135,488.536408132573,1.4033935513501,4.68925449043331e-141,-3.54369370237473,-0.0904478571882257,4.81765974183457e-05,-0.35592566985427,-0.0499271950928317,7.28049071682933e-05,-59.4408000481089,-0.125537610011547,1.59860716370479e-05,-0.729633726957619,-0.00836154480601902,0.00108898916942632,0.355925669854243,0.05,7.66823163450352e-119,496.811542956758,10.95,1.64902868130101e-05,62.0725166296059,0.2,3.14610137310824e-28,-0.653594241880151,0,1.08604734089545e-140,0.000869150634507439,0,8.61401706630805e-15,-32.0292262778749,0,0.0692557898902866,-1.35784231026261,0,0.0609230323537585,-0.207049726662978,0,0.00450779052101638,0.730823203582435,0.01,1.35205421961626e-11,-0.000396492204923637,0.01,0.010183155337011
"8",-224.525278391187,-2.38210122656114,0.0107455148575227,-500.603057305422,-6.42933799693483,0.0321259051719922,-4.32490667699375,-0.0933415797187303,0.000578259788924323,10.8410493702445,0.180992067571288,4.50883378497732e-137,-74.1077834943498,-1.64749061094238,0.00533708863697067,9.37049858540596,0.141469276829215,0,26.6031058278966,-0.0112354927501366,5.49618399826871e-05,9.41196717511508,-4.47963532492066,0.0188842826673135,477.598427061835,1.4033935513501,4.68925449043331e-141,-5.42052468512227,-0.0904478571882257,4.81765974183457e-05,-0.659157848672902,-0.0499271950928317,7.28049071682933e-05,-61.2029174137351,-0.125537610011547,1.59860716370479e-05,-0.71810225396715,-0.00836154480601902,0.00108898916942632,0.659157848672984,0.05,7.66823163450352e-119,490.964065650107,10.95,1.64902868130101e-05,64.6969998183318,0.2,3.14610137310824e-28,0.362858035781082,0,1.08604734089545e-140,-0.492289222037341,0,8.61401706630805e-15,-33.3945586659777,0,0.0692557898902866,-2.57904574732513,0,0.0609230323537585,-0.261868490338472,0,0.00450779052101638,0.719313702253668,0.01,1.35205421961626e-11,-0.000403816097763314,0.01,0.010183155337011
"9",-224.706148234278,-2.38210122656114,0.0107455148575227,-493.166884550056,-6.42933799693483,0.0321259051719922,-4.6413171715744,-0.0933415797187303,0.000578259788924323,18.4006169493929,0.180992067571288,4.50883378497732e-137,-73.2338968376402,-1.64749061094238,0.00533708863697067,9.57984921293684,0.141469276829215,0,27.5557576946083,-0.0112354927501366,5.49618399826871e-05,9.60657863662599,-4.47963532492066,0.0188842826673135,461.704554963637,1.4033935513501,4.68925449043331e-141,-9.20030847469684,-0.0904478571882257,4.81765974183457e-05,-1.41284247343893,-0.0499271950928317,7.28049071682933e-05,-57.1588087160428,-0.125537610011547,1.59860716370479e-05,-0.704975407007843,-0.00836154480601902,0.00108898916942632,1.41284247343898,0.05,7.66823163450352e-119,485.174566549374,10.95,1.64902868130101e-05,63.6420473637924,0.2,3.14610137310824e-28,1.14473118557551,0,1.08604734089545e-140,-2.32047398862754,0,8.61401706630805e-15,-32.7608332553773,0,0.0692557898902866,-4.37477365216787,0,0.0609230323537585,-0.310907397509801,0,0.00450779052101638,0.706213352664321,0.01,1.35205421961626e-11,-0.00041264855196777,0.01,0.010183155337011
"10",-227.478872743259,-2.38210122656114,0.0107455148575227,-485.13118236108,-6.42933799693483,0.0321259051719922,-4.76843185764008,-0.0933415797187303,0.000578259788924323,36.3316322719913,0.180992067571288,4.50883378497732e-137,-72.3686862501674,-1.64749061094238,0.00533708863697067,9.56268252317754,0.141469276829215,0,26.9523166760937,-0.0112354927501366,5.49618399826871e-05,9.56173843589892,-4.47963532492066,0.0188842826673135,431.952289126624,1.4033935513501,4.68925449043331e-141,-18.1658161359951,-0.0904478571882257,4.81765974183457e-05,-3.75319342568647,-0.0499271950928317,7.28049071682933e-05,-47.7666946145285,-0.125537610011547,1.59860716370479e-05,-0.690922475962304,-0.00836154480601902,0.00108898916942632,3.75319342568606,0.05,7.66823163450352e-119,479.442546407376,10.95,1.64902868130101e-05,58.6154244584168,0.2,3.14610137310824e-28,1.58160456718493,0,1.08604734089545e-140,-4.56529233641931,0,8.61401706630805e-15,-29.7040504062259,0,0.0692557898902866,-6.81094879304467,0,0.0609230323537585,-0.3513644272032,0,0.00450779052101638,0.69218985431383,0.01,1.35205421961626e-11,-0.0004224594498653,0.01,0.010183155337011
